Class Name	Parent Class	YAML Class Name	Description	Flags	Slot Name	YAML Slot Name	Range	Card	Slot Description	URI
FloatingRateIndexFixingOffset	BusinessDayOffset	FloatingRateIndexFixingOffset	This type holds parameters defining the normal fixing offset for a floating rate index.							
					designatedMaturity	FloatingRateIndexFixingOffset_designatedMaturity	str	0..1	Allows a reason to be specified for using the alternative fixing offset.	common_domain_model:designatedMaturity
FloatingRateIndexFixingTime	BusinessCenterTime	FloatingRateIndexFixingTime	This type holds parameters defining the normal fixing time for a floating rate index.							
					designatedMaturity		str	0..1	Allows a designed maturity to be specified for the fixing time.	common_domain_model:designatedMaturity
					fixingTimeDefinition		str	0..1	Legal text that underlies the Fixing Time. ISDA Fixing Time Definition. (e.g. 09:30, Sydney time).	common_domain_model:fixingTimeDefinition
					fixingReason		str	0..1	Fixing Reason	common_domain_model:fixingReason
FloatingRateIndexIdentification		FloatingRateIndexIdentification								
					floatingRateIndex	FloatingRateIndexIdentification_floatingRateIndex	FloatingRateIndexEnum	1..1	The reference index that is used to specify the floating interest rate. The FpML standard maintains the list of such indices, which are positioned as enumeration values as part of the CDM.	common_domain_model:floatingRateIndex
					currency	FloatingRateIndexIdentification_currency	ISOCurrencyCodeEnum	0..1	FRO currency - 3 character ISO currrency code	common_domain_model:currency
					froType		str	0..1	FRO type (e.g. OIS)	common_domain_model:froType
FloatingRateIndexMap		FloatingRateIndexMap	A map for a single FRO to or from an equivalent or similar FRO in a different contractual definitions version.							
					index_		FloatingRateIndexEnum	0..*	 The FRO name that is being mapped to/from.	common_domain_model:index_
					contractualDefinitionIdentifier	FloatingRateIndexMap_contractualDefinitionIdentifier	ContractualDefinitionIdentifier	0..1	Contractual Definition to which the map applies. Includes Document Type and Document Version	common_domain_model:contractualDefinitionIdentifier
					identifier	FloatingRateIndexMap_identifier	Identifier	1..*	Corresponds to the unique identifier of the Contractual Definition to which the map applies	common_domain_model:identifier
FloatingRateIndexMappings		FloatingRateIndexMappings	This type defines mappings between FROs in different definitional versions.							
					mapsTo		FloatingRateIndexMap	0..1	The successor FRO that this index maps to.	common_domain_model:mapsTo
					mapsFrom		FloatingRateIndexMap	0..*	The predecessor FRO(s) that this index maps to.	common_domain_model:mapsFrom
FloatingRateProcessingDetails		FloatingRateProcessingDetails	Type for reporting the details of the rate treatment.  This could potentially be replaced by the existing FloatingRateDefinition type , but this is slightly more detailed.							
					rawRate		Decimal	1..1	The raw or untreated rate, prior to any of the rate treatments.	common_domain_model:rawRate
					processingParameters		FloatingRateProcessingParameters	0..1		common_domain_model:processingParameters
					processedRate		Decimal	1..1	The value of the rate after processing.	common_domain_model:processedRate
					spreadExclusiveRate		Decimal	1..1	The value of the processed rate without the spread applied, for subsequent compounding, etc.	common_domain_model:spreadExclusiveRate
FloatingRateProcessingParameters		FloatingRateProcessingParameters	Type to hold the processing parameters that should be or were used to calculate a floating amount.  These parameters can vary over a schedule so this type holds the acutal values applicable to this calculation.							
					initialRate	FloatingRateProcessingParameters_initialRate	Price	0..1	The rate to be applied for the initial period.	common_domain_model:initialRate
					multiplier	FloatingRateProcessingParameters_multiplier	Decimal	0..1	floating rate multiplier.	common_domain_model:multiplier
					spread	FloatingRateProcessingParameters_spread	Decimal	1..1	spread to be added to the floating rate.	common_domain_model:spread
					treatment	FloatingRateProcessingParameters_treatment	RateTreatmentEnum	0..1	US rate treatment (Bond Equivalent Yield or Money Market Yield, if applicable.	common_domain_model:treatment
					capRate	FloatingRateProcessingParameters_capRate	Decimal	0..*	capt to be applied to the floating rate.	common_domain_model:capRate
					floorRate	FloatingRateProcessingParameters_floorRate	Decimal	0..*	floor to be applied to the floating rate.	common_domain_model:floorRate
					rounding	FloatingRateProcessingParameters_rounding	Rounding	0..1	THe final rate rounding to be applied.	common_domain_model:rounding
					negativeTreatment		NegativeInterestRateTreatmentEnum	0..1	How to handle negative interest rates.	common_domain_model:negativeTreatment
FloatingRateSettingDetails		FloatingRateSettingDetails	Type for reporting the raw (untreated) observed or calculated rate for a calculation period.  If this is a calculated rate, it allows details of the observations and the resulting rate to be returned.							
					calculationDetails		CalculatedRateDetails	0..1	Calculated rate details (observation dates, values, and weights).	common_domain_model:calculationDetails
					observationDate	FloatingRateSettingDetails_observationDate	XSDDate	1..1	The day upon which the rate was observed (for term rates).	common_domain_model:observationDate
					resetDate	FloatingRateSettingDetails_resetDate	XSDDate	1..1	The day for which the rate is needed (e.g. period beginning or end date).	common_domain_model:resetDate
					floatingRate	FloatingRateSettingDetails_floatingRate	Decimal	1..*	The resulting rate that was observed or calculated.	common_domain_model:floatingRate
FloatingRateSpecification	FloatingRate	FloatingRateSpecification	A class to specify the floating interest rate by extending the floating rate definition with a set of attributes that specify such rate: the initial value specified as part of the trade, the rounding convention, the averaging method and the negative interest rate treatment.							
					initialRate		Price	0..1	The initial floating rate reset agreed between the principal parties involved in the trade. This is assumed to be the first required reset rate for the first regular calculation period. It should only be included when the rate is not equal to the rate published on the source implied by the floating rate index. An initial rate of 5% would be represented as 0.05.	common_domain_model:initialRate
					finalRateRounding		Rounding	0..1	The rounding convention to apply to the final rate used in determination of a calculation period amount.	common_domain_model:finalRateRounding
					averagingMethod	FloatingRateSpecification_averagingMethod	AveragingWeightingMethodEnum	0..1	If averaging is applicable, this component specifies whether a weighted or unweighted average method of calculation is to be used. The component must only be included when averaging applies.	common_domain_model:averagingMethod
					negativeInterestRateTreatment		NegativeInterestRateTreatmentEnum	0..1	The specification of any provisions for calculating payment obligations when a floating rate is negative (either due to a quoted negative floating rate or by operation of a spread that is subtracted from the floating rate).	common_domain_model:negativeInterestRateTreatment
ForeignExchangeRateIndex	IndexBase	ForeignExchangeRateIndex	Specification of a rate based on the exchange of a pair of cash assets in specific currencies, e.g. USD versus GBP.							
					quotedCurrencyPair		QuotedCurrencyPair	1..1	Describes the composition of a rate that has been quoted or is to be quoted.	common_domain_model:quotedCurrencyPair
					primaryFxSpotRateSource		InformationSource	1..1	Specifies the primary source from which a rate should be observed.	common_domain_model:primaryFxSpotRateSource
					secondaryFxSpotRateSource		InformationSource	0..1	Specifies an alternative, or secondary, source from which a rate should be observed.	common_domain_model:secondaryFxSpotRateSource
FrenchLawAddendum		FrenchLawAddendum	A class to specify party specific elections when a Collateral Transfer Agreement is governed by French Law.							
					isApplicable	FrenchLawAddendum_isApplicable	Bool	1..1	The qualification of whether the French Law Addendum is deemed applicable by the parties (True) or not (False).	common_domain_model:isApplicable
					partyElection	FrenchLawAddendum_partyElection	FrenchLawAddendumElection	1..*	The parties French Law Addendum Elections.	common_domain_model:partyElection
FrenchLawAddendumElection		FrenchLawAddendumElection	A class to specify party specific French Law Addendum language.							
					party	FrenchLawAddendumElection_party	CounterpartyRoleEnum	1..1	The elective party.	common_domain_model:party
					isApplicable	FrenchLawAddendumElection_isApplicable	Bool	1..1	The qualification of whether the party elects specific language.	common_domain_model:isApplicable
					addendumLanguage		str	0..1	The party specific language to be included in the agreement.	common_domain_model:addendumLanguage
Frequency		Frequency	A class for defining a date frequency, e.g. one day, three months, through the combination of an integer value and a standardized period value that is specified as part of an enumeration.							
					periodMultiplier		int	1..1	A time period multiplier, e.g. 1, 2, or 3. If the period value is T (Term) then period multiplier must contain the value 1.	common_domain_model:periodMultiplier
					period		PeriodExtendedEnum	1..1	A time period, e.g. a day, week, month, year or term of the stream.	common_domain_model:period
FroHistory		FroHistory	FRO History							
					startDate	FroHistory_startDate	XSDDate	1..1	The date the Floating Rate Option was added to the 2006 Definitions or 2021 Floating Rate Matrix. (e.g. 2017/04/06)	common_domain_model:startDate
					firstDefinedIn		ContractualDefinition	0..1	The supplement or version the FRO was first added to the 2006 Definitions or 2021 Floating Rate Matrix. (e.g. S52)	common_domain_model:firstDefinedIn
					updateDate		XSDDate	0..1	The date the Floating Rate Option was last updated in the 2006 Definitions or 2021 Floating Rate Matrix. (e.g. 2021/06/11)	common_domain_model:updateDate
					lastUpdatedIn		ContractualDefinition	0..1	The supplement or version the FRO was last updated in the 2006 Definitions or 2021 Floating Rate Matrix. (e.g. FRO-M-V1)	common_domain_model:lastUpdatedIn
					endDate	FroHistory_endDate	XSDDate	1..1	The date the Floating Rate Option was removed from the 2006 Definitions or 2021 Floating Rate Matrix. (e.g. 2014/01/01)	common_domain_model:endDate
FutureValueAmount		FutureValueAmount	A class defining a currency and a future value date.							
					quantity	FutureValueAmount_quantity	NonNegativeQuantitySchedule	0..1	Specifies quantity amount returned if not the full amount from the TradeState, e.g. partial return	common_domain_model:quantity
					currency	FutureValueAmount_currency	str	1..1	The currency in which the an amount is denominated. The list of valid currencies is not presently positioned as an enumeration as part of the CDM because that scope is limited to the values specified by ISDA and FpML. As a result, implementers have to make reference to the relevant standard, such as the ISO 4217 standard for currency codes.	common_domain_model:currency
					calculationPeriodNumberOfDays		int	1..1	The number of days from the adjusted calculation period start date to the adjusted value date, calculated in accordance with the applicable day count fraction.	common_domain_model:calculationPeriodNumberOfDays
					valueDate		XSDDate	1..1	Adjusted value date of the future value amount.	common_domain_model:valueDate
FxAdditionalTerms		FxAdditionalTerms	TransactionAdditionalTerms which apply to the CurrencyPair asset class.							
					disruptionEvents		FxDisruptionEvents	0..1		common_domain_model:disruptionEvents
					determinationTerms	FxAdditionalTerms_determinationTerms	DeterminationRolesAndTerms	1..*		common_domain_model:determinationTerms
					noFaultTermination		Bool	0..1		common_domain_model:noFaultTermination
FxBenchmarkObligationDefault		FxBenchmarkObligationDefault								
					benchmarkObligationDefaultIsApplicable		Bool	1..1		common_domain_model:benchmarkObligationDefaultIsApplicable
					localSubstituteProvisionType		FxSubstitutionProvisionTypeEnum	0..1		common_domain_model:localSubstituteProvisionType
					specifiedValue		SpecifiedValueEnum	0..1		common_domain_model:specifiedValue
					escrowArrangement		EscrowArrangement	0..1		common_domain_model:escrowArrangement
FxDisruptionEvents		FxDisruptionEvents	Additional Provisions for a Confirmation of an FX or Currency Option Transaction							
					illegalityOrImpossibility		FxIllegalityOrImpossibilityEnum	0..1		common_domain_model:illegalityOrImpossibility
					forceMajeureOrActOfSState		FxForceMajeureOrActOfSStateEnum	0..1		common_domain_model:forceMajeureOrActOfSState
					eventCurrency		EventCurrency	0..1	Additional Provisions for a Confirmation of an FX or Currency Option Transaction.	common_domain_model:eventCurrency
					priceSourceDisruption		FxPriceSourceDisruption	0..1		common_domain_model:priceSourceDisruption
					benchmarkObligationDefault		FxBenchmarkObligationDefault	0..1		common_domain_model:benchmarkObligationDefault
					dualExchangeRate		FxDualExchangeRate	0..1		common_domain_model:dualExchangeRate
					inconvertibilityOrNonTransferability		FxInconvertibilityOrNonTransferability	0..1		common_domain_model:inconvertibilityOrNonTransferability
					governmentalAuthorityDefault		GovernmentalAuthorityDefault	0..1		common_domain_model:governmentalAuthorityDefault
					illiquidity		Illiquidity	0..1		common_domain_model:illiquidity
					materialChangeInCircumstance		MaterialChangeInCircumstance	0..1		common_domain_model:materialChangeInCircumstance
					nationalization		Nationalization	0..1		common_domain_model:nationalization
					priceMateriality		PriceMateriality	0..1		common_domain_model:priceMateriality
					fallbackLanguageBespokeTerms	FxDisruptionEvents_fallbackLanguageBespokeTerms	Clause	0..1	Where parties may optionaly describe any extra bespoke agreements about fallback procedure attached to a particular determination role.	common_domain_model:fallbackLanguageBespokeTerms
FxDualExchangeRate		FxDualExchangeRate								
					dualExchangeRateIsApplicable		Bool	1..1		common_domain_model:dualExchangeRateIsApplicable
					fallbackReferencePrice	FxDualExchangeRate_fallbackReferencePrice	FallbackReferencePrice	0..1	The method, prioritised by the order it is listed in this element, to get a replacement rate for the disrupted settlement rate option.	common_domain_model:fallbackReferencePrice
					escrowArrangement		EscrowArrangement	0..1		common_domain_model:escrowArrangement
FxFeature		FxFeature	A type for defining FX Features.							
					referenceCurrency		str	1..1	Specifies the reference currency of the trade.	common_domain_model:referenceCurrency
					composite	FxFeature_composite	Composite	0..1	If 'Composite' is specified as the Settlement Type in the relevant Transaction Supplement, an amount in the Settlement Currency, determined by the Calculation Agent as being equal to the number of Options exercised or deemed exercised, multiplied by: (Settlement Price – Strike Price) / (Strike Price – Settlement Price) x Multiplier provided that if the above is equal to a negative amount the Option Cash Settlement Amount shall be deemed to be zero.	common_domain_model:composite
					quanto		Quanto	0..1	If 'Quanto' is specified as the Settlement Type in the relevant Transaction Supplement, an amount, as determined by the Calculation Agent in accordance with the Section 8.2 of the Equity Definitions.	common_domain_model:quanto
					crossCurrency		Composite	0..1	If 'Cross-Currency' is specified as the Settlement Type in the relevant Transaction Supplement, an amount in the Settlement Currency, determined by the Calculation Agent as being equal to the number of Options exercised or deemed exercised, multiplied by: (Settlement Price – Strike Price) / (Strike Price – Settlement Price) x Multiplier x one unit of the Reference Currency converted into an amount in the Settlement Currency using the rate of exchange of the Settlement Currency as quoted on the Reference Price Source on the Valuation Date, provided that if the above is equal to a negative amount the Option Cash Settlement Amount shall be deemed to be zero.	common_domain_model:crossCurrency
FxFixingDate	Offset	FxFixingDate	Extends the Offset structure to specify an FX fixing date as an offset to dates specified somewhere else in the document.							
					businessDayConvention	FxFixingDate_businessDayConvention	BusinessDayConventionEnum	1..1	The convention for adjusting a date if it would otherwise fall on a day that is not a business day, as specified by an ISDA convention (e.g. Following, Precedent).	common_domain_model:businessDayConvention
					businessCenters		BusinessCenters	0..1	The business center(s), specified either explicitly or by reference to those specified somewhere else in the instance document.	common_domain_model:businessCenters
					businessCentersReference	FxFixingDate_businessCentersReference	BusinessCenters	0..1	A reference to a set of financial business centers defined elsewhere in the document. This set of business centers is used to determine whether a particular day is a business day or not.	common_domain_model:businessCentersReference
					dateRelativeToPaymentDates		DateRelativeToPaymentDates	0..1	The payment date references on which settlements in non-deliverable currency are due and will then have to be converted according to the terms specified through the other parts of the nonDeliverableSettlement structure.	common_domain_model:dateRelativeToPaymentDates
					dateRelativeToCalculationPeriodDates		DateRelativeToCalculationPeriodDates	0..1	The calculation period references on which settlements in non-deliverable currency are due and will then have to be converted according to the terms specified through the other parts of the nonDeliverableSettlement structure. Implemented for Brazilian-CDI swaps where it will refer to the termination date of the appropriate leg.	common_domain_model:dateRelativeToCalculationPeriodDates
					dateRelativeToValuationDates		DateRelativeToValuationDates	0..1	The calculation period references on which settlements in non-deliverable currency are due and will then have to be converted according to the terms specified through the other parts of the nonDeliverableSettlement structure. Implemented for Brazilian-CDI swaps where it will refer to the termination date of the appropriate leg.	common_domain_model:dateRelativeToValuationDates
					fxFixingDate	FxFixingDate_fxFixingDate	AdjustableOrRelativeDate	0..1	Describes the specific date when a non-deliverable forward or cash-settled option will 'fix' against a particular rate, which will be used to compute the ultimate cash settlement. This element should be omitted where a single, discrete fixing date cannot be identified e.g. on an american option, where fixing may occur at any date on a continuous range.  This attribute was formerly part of 'fxSettlementTerms', which is now being harmonised into a common 'CashSettlementTerms' that includes a 'ValuationDate'.	common_domain_model:fxFixingDate
FxHaircutCurrency		FxHaircutCurrency	A class to specify the reference currency for the purpose of specifying the FX Haircut relating to a posting obligation, as being either the Termination Currency or an FX Designated Currency.							
					isTerminationCurrency		Bool	1..1	The reference currency for the purpose of specifying the FX Haircut relating to a posting obligation is the Termination Currency when the Boolean value is set to True.	common_domain_model:isTerminationCurrency
					fxDesignatedCurrency		str	0..1	When specified, the reference currency for the purpose of specifying the FX Haircut relating to a posting obligation. The list of valid currencies is not presently positioned as an enumeration as part of the CDM because that scope is limited to the values specified by ISDA and FpML. As a result, implementers have to make reference to the relevant standard, such as the ISO 4217 standard for currency codes.	common_domain_model:fxDesignatedCurrency
FxInconvertibilityOrNonTransferability		FxInconvertibilityOrNonTransferability								
					generalInconvertibility		GeneralInconvertibility	0..1		common_domain_model:generalInconvertibility
					generalNonTransferability		GeneralNonTransferability	0..1		common_domain_model:generalNonTransferability
					specificInconvertibility		SpecificInconvertibility	0..1		common_domain_model:specificInconvertibility
					specificNonTransferability		SpecificNonTransferability	0..1		common_domain_model:specificNonTransferability
FxInformationSource	InformationSource	FxInformationSource	Information source specific to Foreign Exchange products.							
					fixingTime		BusinessCenterTime	0..1	The time that the fixing will be taken along with a business center to define the time zone.	common_domain_model:fixingTime
FxLinkedNotionalAmount		FxLinkedNotionalAmount	A data to:  describe the cashflow representation for FX linked notionals.							
					resetDate	FxLinkedNotionalAmount_resetDate	XSDDate	1..1	The reset date.	common_domain_model:resetDate
					adjustedFxSpotFixingDate		XSDDate	0..1	The date on which the FX spot rate is observed. This date should already be adjusted for any applicable business day convention.	common_domain_model:adjustedFxSpotFixingDate
					observedFxSpotRate		Decimal	0..1	The actual observed FX spot rate.	common_domain_model:observedFxSpotRate
					notionalAmount	FxLinkedNotionalAmount_notionalAmount	Decimal	0..1	The calculation period notional amount.	common_domain_model:notionalAmount
FxLinkedNotionalSchedule		FxLinkedNotionalSchedule	A data to:  describe a notional schedule where each notional that applies to a calculation period is calculated with reference to a notional amount or notional amount schedule in a different currency by means of a spot currency exchange rate which is normally observed at the beginning of each period.							
					varyingNotionalCurrency		str	1..1	The currency of the varying notional amount, i.e. the notional amount being determined periodically based on observation of a spot currency exchange rate. The list of valid currencies is not presently positioned as an enumeration as part of the CDM because that scope is limited to the values specified by ISDA and FpML. As a result, implementers have to make reference to the relevant standard, such as the ISO 4217 standard for currency codes.	common_domain_model:varyingNotionalCurrency
					varyingNotionalFixingDates		RelativeDateOffset	1..1	The dates on which spot currency exchange rates are observed for purposes of determining the varying notional currency amount that will apply to a calculation period.	common_domain_model:varyingNotionalFixingDates
					fxSpotRateSource		FxSpotRateSource	1..1	The information source and time at which the spot currency exchange rate will be observed.	common_domain_model:fxSpotRateSource
					fixingTime	FxLinkedNotionalSchedule_fixingTime	BusinessCenterTime	0..1	The time at which the spot currency exchange rate will be observed. It is specified as a time in a business day calendar location, e.g. 11:00am London time.	common_domain_model:fixingTime
					varyingNotionalInterimExchangePaymentDates		RelativeDateOffset	1..1	The dates on which interim exchanges of notional are paid. Interim exchanges will arise as a result of changes in the spot currency exchange amount or changes in the constant notional schedule (e.g. amortisation).	common_domain_model:varyingNotionalInterimExchangePaymentDates
FxPriceSourceDisruption		FxPriceSourceDisruption								
					priceSourceDisruptionIsApplicable		Bool	1..1		common_domain_model:priceSourceDisruptionIsApplicable
					fallbackReferencePrice		SettlementRateOption	0..1	The method, prioritised by the order it is listed in this element, to get a replacement rate for the disrupted settlement rate option.	common_domain_model:fallbackReferencePrice
					escrowArrangement		EscrowArrangement	0..1		common_domain_model:escrowArrangement
FxRate		FxRate	A class describing the rate of a currency conversion: pair of currency, quotation mode and exchange rate.							
					quotedCurrencyPair	FxRate_quotedCurrencyPair	QuotedCurrencyPair	1..1	Defines the two currencies for an FX trade and the quotation relationship between the two currencies.	common_domain_model:quotedCurrencyPair
					rate		Decimal	0..1	The rate of exchange between the two currencies of the leg of a deal. Must be specified with a quote basis.	common_domain_model:rate
FxRateSourceFixing		FxRateSourceFixing	Describes a rate source to be fixed and the date the fixing occurs							
					settlementRateSource		FxSettlementRateSource	1..1		common_domain_model:settlementRateSource
					fixingDate		AdjustableDate	1..1	The date on which the fixing is scheduled to occur.	common_domain_model:fixingDate
FxSettlementRateSource		FxSettlementRateSource	The source of the Foreign Exchange settlement rate.							
					settlementRateOption	FxSettlementRateSource_settlementRateOption	str	0..1	Indicates that an officially defined rate settlement rate option will be the used for the fixing.	common_domain_model:settlementRateOption
					nonstandardSettlementRate		FxInformationSource	0..1	Indicates that a non-standard rate source will be used for the fixing.	common_domain_model:nonstandardSettlementRate
FxSpotRateSource		FxSpotRateSource	A class defining the rate source and fixing time for an FX rate.							
					primarySource		InformationSource	1..1	The primary source for where the rate observation will occur. Will typically be either a page or a reference bank published rate.	common_domain_model:primarySource
					secondarySource		InformationSource	0..1	An alternative, or secondary, source for where the rate observation will occur. Will typically be either a page or a reference bank published rate.	common_domain_model:secondarySource
GeneralInconvertibility		GeneralInconvertibility								
					generalInconvertibilityIsApplicable		Bool	1..1		common_domain_model:generalInconvertibilityIsApplicable
					localSubstituteProvisionType		FxSubstitutionProvisionTypeEnum	0..1		common_domain_model:localSubstituteProvisionType
					maximumDaysOfDisruption	GeneralInconvertibility_maximumDaysOfDisruption	ValuationPostponement	0..1	Specifies how long to wait to get a quote from a settlement rate option upon a price source disruption.	common_domain_model:maximumDaysOfDisruption
					nonDeliverableSubstitute		NonDeliverableSubstitute	0..1		common_domain_model:nonDeliverableSubstitute
					escrowArrangement	GeneralInconvertibility_escrowArrangement	EscrowArrangement	0..1	Refers to the segregation deposit procedure parties may want to commmit into during the time a Disruption Event is effective	common_domain_model:escrowArrangement
GeneralNonTransferability		GeneralNonTransferability								
					generalNonTransferabilityIsApplicable		Bool	1..1		common_domain_model:generalNonTransferabilityIsApplicable
					localSubstituteProvisionType		FxSubstitutionProvisionTypeEnum	0..1		common_domain_model:localSubstituteProvisionType
					maximumDaysOfDisruption	GeneralNonTransferability_maximumDaysOfDisruption	ValuationPostponement	0..1	Specifies how long to wait to get a quote from a settlement rate option upon a price source disruption.	common_domain_model:maximumDaysOfDisruption
					nonDeliverableSubstitute		NonDeliverableSubstitute	0..1		common_domain_model:nonDeliverableSubstitute
					escrowArrangement	GeneralNonTransferability_escrowArrangement	EscrowArrangement	0..1	Refers to the segregation deposit procedure parties may want to commmit into during the time a Disruption Event is effective	common_domain_model:escrowArrangement
GeneralSimmElections		GeneralSimmElections	A class to specify the ISDA SIMM as the Method for all Covered Transactions with respect to all Regimes.							
					simmVersion		SimmVersion	0..1	The qualification of the ISDA SIMM version that is specified for all Covered Transactions.	common_domain_model:simmVersion
					simmCalculationCurrency		SimmCalculationCurrency	1..1	The SIMM Calculation Currency, as specified for each of the parties to the CSA Initial Margin.	common_domain_model:simmCalculationCurrency
GeneralTerms		GeneralTerms	 A class specifying a set of non-monetary terms for the Credit Derivative Transaction, including the buyer and seller and selected items from the ISDA 2014 Credit Definition article II, such as the reference obligation and related terms. The CDM GeneralTerms class corresponds to the FpML GeneralTerms complex type, except that the effectiveDate and scheduledTerminationDate have been positioned as part of the InterestRatePayout class in the CDM instead of in GeneralTerms.							
					referenceInformation	GeneralTerms_referenceInformation	ReferenceInformation	1..1	This attribute contains all the terms relevant to defining the reference entity and reference obligation(s).	common_domain_model:referenceInformation
					indexReferenceInformation		CreditIndex	0..1	This attribute contains all the terms relevant to the underlying Index.	common_domain_model:indexReferenceInformation
					basketReferenceInformation		BasketReferenceInformation	0..1	This attribute contains all the terms relevant to defining the Credit Default Swap Basket.	common_domain_model:basketReferenceInformation
					additionalTerm		str	0..*	This attribute is used for representing information contained in the Additional Terms field of the 2003 Master Credit Derivatives confirm.	common_domain_model:additionalTerm
					substitution	GeneralTerms_substitution	Bool	0..1	Value of this attribute set to 'true' indicates that substitution is applicable.	common_domain_model:substitution
					modifiedEquityDelivery		Bool	0..1	Value of this attribute set to 'true' indicates that modified equity delivery is applicable.	common_domain_model:modifiedEquityDelivery
GlobalMasterRepoAgreement	MasterAgreementBase	GlobalMasterRepoAgreement	The set of elections that define a GMRA							
GlobalMasterSecuritiesLendingAgreement	MasterAgreementBase	GlobalMasterSecuritiesLendingAgreement	The set of elections that define a GMSLA.							
					collateral	GlobalMasterSecuritiesLendingAgreement_collateral	CollateralSpecification	1..1	The definitions regarding collateral relating to the GMSLA.	common_domain_model:collateral
					baseCurrency	GlobalMasterSecuritiesLendingAgreement_baseCurrency	BaseCurrency	1..1	The definitions regarding base currency determinations relating to the GMSLA.	common_domain_model:baseCurrency
					eventsOfDefault		EventsOfDefault	1..1	The definitions regarding any different events of default relating to the GMSLA.	common_domain_model:eventsOfDefault
GovernmentalAuthorityDefault		GovernmentalAuthorityDefault								
					governmentalAuthorityDefaultIsApplicable		Bool	1..1		common_domain_model:governmentalAuthorityDefaultIsApplicable
					escrowArrangement		EscrowArrangement	0..1		common_domain_model:escrowArrangement
					localSubstituteProvisionType		FxSubstitutionProvisionTypeEnum	0..1		common_domain_model:localSubstituteProvisionType
					specifiedValue		SpecifiedValueEnum	0..1		common_domain_model:specifiedValue
					maximumDaysOfDisruption		ValuationPostponement	0..1		common_domain_model:maximumDaysOfDisruption
GracePeriodExtension		GracePeriodExtension								
					applicable	GracePeriodExtension_applicable	Bool	1..1	Indicates whether the grace period extension provision is applicable.	common_domain_model:applicable
					gracePeriod		Offset	0..1	The number of calendar or business days after any due date that the reference entity has to fulfil its obligations before a failure to pay credit event is deemed to have occurred. ISDA 2003 Term: Grace Period.	common_domain_model:gracePeriod
HoldingAndUsingPostedCollateral		HoldingAndUsingPostedCollateral	Specifies the conditions that need to be satisfied before the Secured Party or Custodian acting on its behalf can hold and use posted collateral.							
					partyElection	HoldingAndUsingPostedCollateral_partyElection	HoldingAndUsingPostedCollateralElection	1..*	The parties' elections for the holding and using of posted collateral.	common_domain_model:partyElection
					additionalLanguage	HoldingAndUsingPostedCollateral_additionalLanguage	str	0..1	The additional language that might be specified by the parties to the legal agreement.	common_domain_model:additionalLanguage
HoldingAndUsingPostedCollateralElection		HoldingAndUsingPostedCollateralElection	Specifies the parties' elections related to the holding and using of posted collateral.							
					party	HoldingAndUsingPostedCollateralElection_party	CounterpartyRoleEnum	1..1	The party to which the elections apply.	common_domain_model:party
					eligibilityToHoldCollateral		EligibilityToHoldCollateral	1..1	The specification of the conditions under which a party and its custodian(s) are entitled to hold posted collateral.	common_domain_model:eligibilityToHoldCollateral
					useOfPostedCollateral		Bool	1..1	Indicates whether the party has the right to reuse, rehypothecate, or otherwise make use of the posted collateral. 'True' if the party has the right,'False' if the party does not have the right.	common_domain_model:useOfPostedCollateral
Id		Id								
					lei		str	1..1		common_domain_model:lei
IdentifiedList		IdentifiedList	Attaches an identifier to a collection of objects, when those objects themselves can each be represented by an identifier. One use case is the representation of package transactions, where each component is a separate trade with its own identifier, and those trades are linked together as a package with its own identifier. The data type has been named generically rather than referring to 'packages' as it may have a number of other uses.							
					listId		Identifier	1..1	The identifier for the list. In the case of a package transaction, this would be the package identifier. This attribute is mandatory to allow the list itself to be identified.	common_domain_model:listId
					componentId		Identifier	1..*	Identifiers for each component of the list. Since the data type is used to link multiple identified objects together, at least 2 components are required in the list. Creating an identified list with only 1 identified component has been deemed unnecessary, because it would just create a redundant identifier.	common_domain_model:componentId
					price		Price	0..1	The price of the package.	common_domain_model:price
Identifier		Identifier	A class to specify a generic identifier, applicable to CDM artefacts such as executions, contracts, lifecycle events and legal documents. An issuer can be associated with the actual identifier value as a way to properly qualify it.							
					issuerReference		Party	0..1	The identifier issuer, when specified by reference to a party specified as part of the transaction.	common_domain_model:issuerReference
					issuer		str	0..1	The identifier issuer, when specified explicitly alongside the identifier value (instead of being specified by reference to a party).	common_domain_model:issuer
					assignedIdentifier		AssignedIdentifier	1..*	The identifier value. This level of indirection between the issuer and the identifier and its version provides the ability to associate multiple identifiers to one issuer, consistently with the FpML PartyTradeIdentifier.	common_domain_model:assignedIdentifier
Illiquidity		Illiquidity								
					illiquidityIsApplicable		Bool	1..1		common_domain_model:illiquidityIsApplicable
					escrowArrangement		EscrowArrangement	0..1		common_domain_model:escrowArrangement
					minimumAmount		Quantity	0..1		common_domain_model:minimumAmount
					fallbackReferencePrice		SettlementRateOption	0..1	The method, prioritised by the order it is listed in this element, to get a replacement rate for the disrupted settlement rate option.	common_domain_model:fallbackReferencePrice
					illiquidityValuationDate		AdjustedRelativeDateOffset	0..1		common_domain_model:illiquidityValuationDate
IndependentAmount	PartyReferencePayerReceiver	IndependentAmount	A class specifying the Independent Amount as the combination of a payer/receiver, a payment amount, a payment date and an associated payment calculation rule.							
					paymentDetail		PaymentDetail	1..*	An attribute that specifies a payment as the combination of a payment amount, a payment date and an associated payment calculation rule.	common_domain_model:paymentDetail
