Class Name	Parent Class	YAML Class Name	Description	Flags	Slot Name	YAML Slot Name	Range	Card	Slot Description	URI
					adjustableDates		AdjustableDates	0..1	A series of dates that shall be subject to adjustment if they would otherwise fall on a day that is not a business day in the specified business centers, together with the convention for adjusting the date.	common_domain_model:adjustableDates
					relativeDates		RelativeDates	0..1	A series of dates specified as some offset to another series of dates (the anchor dates).	common_domain_model:relativeDates
					periodicDates		PeriodicDates	0..1	A calculation period schedule.	common_domain_model:periodicDates
AdjustedRelativeDateOffset	RelativeDateOffset	AdjustedRelativeDateOffset	A type defining a date (referred to as the derived date) as a relative offset from another date (referred to as the anchor date) plus optional date adjustments.							
					relativeDateAdjustments		BusinessDayAdjustments	0..1	The business day convention and financial business centers used for adjusting the relative date if it would otherwise fall on a day that is not a business date in the specified business centers.	common_domain_model:relativeDateAdjustments
AdjustmentFactor		AdjustmentFactor	Describes the terms involved for adjusting the price of the underlier impacted by a Corporate Action.							
					value	AdjustmentFactor_value	Decimal	1..1	The multiplier value applied to the price of the underlier impacted by a Corporate Action.	common_domain_model:value
					calculationTerms		AdjustmentFactorCalculationTerms	0..1	Describes the input terms involved in the calculation of the adjustment factor applied to the price of the underlier impacted by a Corporate Action.	common_domain_model:calculationTerms
AdjustmentFactorCalculationTerms		AdjustmentFactorCalculationTerms	Describes the input terms involved in the calculation of the adjustment factor applied to the price of the underlier impacted by a Corporate Action.							
					shareForShareRatio		Decimal	0..1	Multiple value, say 'M/N' where 'M' is the number of shares after the event and 'N' is the number of shares prior to the event. 	common_domain_model:shareForShareRatio
					shareForRightsRatio		Decimal	0..1	Multiple value, say 'M/N' where 'M' is the number of rights after the event, and 'N' of shares prior to the event. 	common_domain_model:shareForRightsRatio
					rightsSubscriptionPrice		Price	0..1	The price to pay per each right.	common_domain_model:rightsSubscriptionPrice
					dividendRatio		Decimal	0..1	Multiplier value (e.g. 85 %, etc.) to calculate net dividend amount, given gross amount before taking into account the relevant fiscal features.	common_domain_model:dividendRatio
					spinOff		SpinOff	0..1	Defines the underlier for both the Parent Company and the Child Compagny involved in Spin Off corporate action, as well as the respective price observation for each.	common_domain_model:spinOff
					merger		Merger	0..1	Defines the underlier for both the Purchaser Company and the Acquired Compagny involved in Spin Off corporate action, as well as the respective price observation for each.	common_domain_model:merger
					accrualFactor		AccrualFactor	0..1	The accrual rate and related terms, to adjust the price of an underlier impacted by a Corporate Action when economic impact consists in freezing the underlier price to last fixing and applying accruals for each remaining underlier price fixing date required i.e. for each, adjustedPrice = lastFixingPrice x (1 + accrualRate x DCF).	common_domain_model:accrualFactor
					lastFixingPriceBeforeAdjustment		Price	0..1	The last fixing price of the Underlier affected by the CorporateAction, before any adjustment with regards to the CorporateAction.	common_domain_model:lastFixingPriceBeforeAdjustment
					dividendObservation		PriceSchedule	0..1	To record observations of dividends.	common_domain_model:dividendObservation
					bespokeCalculationFormula		str	0..1	To describe the formula used to calculate the Adjustment Factor.	common_domain_model:bespokeCalculationFormula
AgencyRatingCriteria		AgencyRatingCriteria	Represents a class to specify a credit notation.							
					creditNotation	AgencyRatingCriteria_creditNotation	CreditNotation	1..1	Indicates the agency rating criteria specified for the asset or issuer.	common_domain_model:creditNotation
					mismatchResolution	AgencyRatingCriteria_mismatchResolution	CreditNotationMismatchResolutionEnum	0..1	Indicator for options to be used if several agency ratings (>1) are specified and its necessary to identify specific charateristics. i.e (lowest or highest).	common_domain_model:mismatchResolution
					referenceAgency	AgencyRatingCriteria_referenceAgency	CreditRatingAgencyEnum	0..1	identifies the dominant reference agency if there is a missmatch and several reference agencies exsist.	common_domain_model:referenceAgency
					boundary		CreditNotationBoundaryEnum	0..1	Indicates the boundary of a credit agency rating i.e minimum or maximum.	common_domain_model:boundary
Aggregation		Aggregation	The definitions for whether aggregation applies to the GMSLA, and if so how it applies.							
