#license: Apache-2.0
#mapping_set_id: https://w3id.org/lmodel/common-domain-model
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2026-05-21
#curie_map: 
# common_domain_model: https://w3id.org/lmodel/common-domain-model/
# linkml: https://w3id.org/linkml/
# schema: http://schema.org/
# fpml: http://www.fpml.org/coding-scheme/
# fpml_5_10: https://www.fpml.org/spec/fpml-5-10#
# isda: https://www.isda.org/specifications/
# icma: https://www.icmagroup.org/market-practice-and-regulatory-policy/
# gist: https://w3id.org/lmodel/gist/
# iso29100: https://w3id.org/lmodel/iso29100/
# oscal: https://w3id.org/lmodel/oscal/
# spdx: https://spdx.org/rdf/3.0.1/terms/
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
common_domain_model:BrokerConfirmationTypeEnum#StandardEmergingEuropeanCorporateLPN	StandardEmergingEuropeanCorporateLPN	skos:exactMatch		http://www.fpml.org/coding-scheme/broker-confirmation-type-5-0#StandardEmergingEuropeanCorporateLPN		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_legaldocumentation_transaction						BrokerConfirmationTypeEnum			
common_domain_model:BrokerConfirmationTypeEnum#StandardEuropeanCorporate	StandardEuropeanCorporate	skos:exactMatch		http://www.fpml.org/coding-scheme/broker-confirmation-type-5-0#StandardEuropeanCorporate		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_legaldocumentation_transaction						BrokerConfirmationTypeEnum			
common_domain_model:BrokerConfirmationTypeEnum#StandardJapanCorporate	StandardJapanCorporate	skos:exactMatch		http://www.fpml.org/coding-scheme/broker-confirmation-type-5-0#StandardJapanCorporate		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_legaldocumentation_transaction						BrokerConfirmationTypeEnum			
common_domain_model:BrokerConfirmationTypeEnum#StandardJapanSovereign	StandardJapanSovereign	skos:exactMatch		http://www.fpml.org/coding-scheme/broker-confirmation-type-5-0#StandardJapanSovereign		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_legaldocumentation_transaction						BrokerConfirmationTypeEnum			
common_domain_model:BrokerConfirmationTypeEnum#StandardLCDS	StandardLCDS	skos:exactMatch		http://www.fpml.org/coding-scheme/broker-confirmation-type-5-0#StandardLCDS		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_legaldocumentation_transaction						BrokerConfirmationTypeEnum			
common_domain_model:BrokerConfirmationTypeEnum#StandardLCDSBullet	StandardLCDSBullet	skos:exactMatch		http://www.fpml.org/coding-scheme/broker-confirmation-type-5-0#StandardLCDSBullet		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_legaldocumentation_transaction						BrokerConfirmationTypeEnum			
common_domain_model:BrokerConfirmationTypeEnum#StandardLCDXBullet	StandardLCDXBullet	skos:exactMatch		http://www.fpml.org/coding-scheme/broker-confirmation-type-5-0#StandardLCDXBullet		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_legaldocumentation_transaction						BrokerConfirmationTypeEnum			
common_domain_model:BrokerConfirmationTypeEnum#StandardLCDXBulletTranche	StandardLCDXBulletTranche	skos:exactMatch		http://www.fpml.org/coding-scheme/broker-confirmation-type-5-0#StandardLCDXBulletTranche		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_legaldocumentation_transaction						BrokerConfirmationTypeEnum			
common_domain_model:BrokerConfirmationTypeEnum#StandardLatinAmericaCorporateBond	StandardLatinAmericaCorporateBond	skos:exactMatch		http://www.fpml.org/coding-scheme/broker-confirmation-type-5-0#StandardLatinAmericaCorporateBond		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_legaldocumentation_transaction						BrokerConfirmationTypeEnum			
common_domain_model:BrokerConfirmationTypeEnum#StandardLatinAmericaCorporateBondOrLoan	StandardLatinAmericaCorporateBondOrLoan	skos:exactMatch		http://www.fpml.org/coding-scheme/broker-confirmation-type-5-0#StandardLatinAmericaCorporateBondOrLoan		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_legaldocumentation_transaction						BrokerConfirmationTypeEnum			
