id,mappings,description
CashSettlementTerms,,"Defines the terms required to compute and settle a cash settlement amount according to a fixing value, including the fixing source, fixing method and fixing date. In FpML, PhysicalSettlementTerms and CashSettlementTerms extend SettlementTerms. In the CDM, this extension paradigm has not been used because SettlementTerms class has been used for purposes related to securities transactions, while it is not used as such in the FpML standard (i.e. only as an abstract construct."
CheckEligibilityResult,,Result for the CheckEligibilityByDetails and CheckEligibilityForProduct functions
Clause,,A type for documenting additional clause that cannot yet be represented with the model and yet needed for a digital representation of the agreement.
ClearingInstruction,,"All information required to perform the clear life cycle event; the clearing party (CCP), the two parties facing each other on the alpha contract, and optionally the parties acting as clearing members."
ClosedState,,"A class to qualify the closed state of an execution or a contract through the combination or a state (e.g. terminated, novated) and a set of dates: activity date, effective date and, when relevant, last payment date."
CodeList,,A type hold a list of codes for business data validation
CodeListIdentification,,A type to identify the version of a codelist
CodeValue,,A type to hold the value of the code in a codelist
Collateral,,A type for defining the obligations of the counterparty subject to credit support requirements.
CollateralAccessBreach,,A class to specify Collateral Access Breach language.
CollateralAgreementFloatingRate,,Represents the parameters needed to calculate the floating rate paid on collateral holdings.
CollateralBalance,,Represents common attributes to define a collateral balance recorded by the principal as held or posted.
CollateralCriteria,,"The possible different terms that can be combined, using AND, OR and NOT logic, to define the issuers and/or assets that meet a given criteria for collateral."
CollateralCriteriaBase,,Represents a set of criteria used to specify and describe collateral.
CollateralGuarantorType,,Specifies the origin of entity guaranteeing the collateral.
CollateralInterestCalculationParameters,,"Represents parameters for calculating the amount the floating interest calculation, e.g.  for a single currency or defaults for all currencies."
CollateralInterestHandlingParameters,,"Represents parameters that describe how calculated interest amounts are handled, i.e. are they transferred/distributed, or is the collateral balance adjusted, is netting done, and any other special handling."
CollateralInterestNotification,,Represents the parameters describing when notifications should be made for required collateral interest transfers.
CollateralInterestParameters,,Represents the floating interest calculation and distribution parameters for a single currency.
CollateralIssuerType,,Represents a class to allow specification of the type of entity issuing the collateral.
CollateralManagementAgreement,,A class to specify the Collateral Management Agreement election.
CollateralManagementAgreementElection,,A class to specify the Collateral Management Agreement election.
CollateralPortfolio,,"Represents common attributes to define the details of collateral assets, to be used in margin call messaging and contribute to collateral balances e.g securities in a collateral account."
CollateralPosition,,Specifies the individual components of collateral positions.
CollateralProvisions,,Contains collateral attributes which can also inherit information from a GMRA
CollateralRounding,,A class to specify the rounding methodology applicable to the Delivery Amount and the Return Amount.
CollateralSpecification,,The definitions regarding collateral relating to the GMSLA.
CollateralTaxonomy,,"Specifies the collateral taxonomy, which is composed of a taxonomy value and a taxonomy source."
CollateralTaxonomyValue,,"Specifies the collateral taxonomy value, either as a specified enumeration or as a string."
CollateralTransferAgreementElections,,The set of elections which specify a Collateral Transfer Agreement.
CollateralTransferTiming,,"Specification of transfer / settlement timing for cash and securities collateral assuming that the notice is provided before the Notification Time (and with a 1LBD lag introduced if the notice is delivered after the Notification Time), and that securities allow for a further Local Business Day for transfer / settlement."
CollateralTransferTimingDefinition,,Bespoke language removing the pre-print requirement to transfer legal title of securities collateral through written instructions to the relevant depository institution or other securities intermediaries solely for the purposes of the 1994 New York Law Credit Support Annex.
CollateralTreatment,,Specifies the treatment terms for the eligible collateral criteria specified.
CollateralValuationTreatment,,Specification of the valuation treatment for the specified collateral.
CollateralValueMethod,,Details how particular types of collateral are valued (other than in respect of a default).
Commodity,,Identifies a specific commodity by referencing a product identifier or by a product definition.
CommodityPayout,,Payout based on the averaged price of a referenced underlier. (e.g. Commodities). Can represent both average (average of many) & bullet (average of 1) pricing
CommodityPriceReturnTerms,,Defines parameters in which the commodity price is assessed.
CommodityProductDefinition,,Specifies the commodity underlier in the event that no ISDA Commodity Reference Price exists.
CommodityReferenceFramework,,Specifies the type of commodity.
Composite,,Specifies the conditions to be applied for converting into a reference currency when the actual currency rate is not determined upfront.
ComputedAmount,,"A class to specify the outcome of a computed amount, for testing purposes."
ConcentrationLimit,,Represents a class to describe concentration limits that may be applicable to eligible collateral criteria.
ConcentrationLimitCriteria,,Respresents a class to describe a set of criteria to describe specific assets that the concentration limits apply to.
ConditionsPrecedent,,A class to specify the two set of elections that may overwrite the default Condition Precedent provision.
ConstituentWeight,,"A class describing the weight of each of the underlier constituent within the basket, either in absolute or relative terms."
ContactInformation,,"A class to specify contact information associated with a party: telephone, postal/street address, email and web page."
ContactInformationElection,,Specifies the party reference and the associated contact information.
ContractBase,,Encapsulates data features common to trade and position.
ContractDetails,,Defines specific attributes that relate to contractual details of trades.
ContractFormationInstruction,,"Specifies instructions to create a fully formed contract, with optional legal agreements."
ContractualDefinition,,
ContractualDefinitionIdentifier,,
ContractualMatrix,,
ContractualTermsSupplement,,A contractual supplement (such as those published by ISDA) and its publication date that will apply to the trade.
ControlAgreement,,A class to specify the relationship between the Control Agreement and the Credit Support Agreement.
ControlAgreementElections,,A class to specify the Control Agreement election sby each party to the agreement.
ControlAgreementNecEvent,,A class to specify Control Agreement language related to delivery of a Notice of Exclusive Control.
