id,mappings,description
PrincipalPayments,,A class defining which principal exchanges occur for the stream.
PrincipalPaymentSchedule,,Describe dates schedules for Principal Exchanges and related role of the parties when known.
ProcessAgent,,Specifies the Process Agent that might be appointed by the parties as part of a Credit Support Annex/Deed or Collateral Transfer Agreement.
ProcessAgentElection,,Specifies the parties' respective elections with respect to the Process Agent.
Product,,Enables either a TransferableProduct or a NonTransferableProduct to be used in an underlier.
ProductIdentifier,,"Comprises an identifier and a source. The associated metadata key denotes the ability to associate a hash value to the ProductIdentifier instantiations for the purpose of model cross-referencing, in support of functionality such as the event effect and the lineage."
ProductTaxonomy,,"Specifies the product taxonomy, which is composed of a taxonomy value and a taxonomy source."
ProtectionTerms,,"A class to specify the terms for calculating a payout to protect the buyer of the swap in the case of a qualified credit event. These terms include the applicable credit events, the reference obligation, and in the case of a CDS on mortgage-backed securities, the floatingAmountEvents."
Prsn,,
PubliclyAvailableInformation,,
Qty,,
Quantity,,"Specifies a quantity as a single value to be associated to a financial product, for example a transfer amount resulting from a trade. This data type extends QuantitySchedule and requires that only the single amount value exists."
QuantityChangeInstruction,,"Instructions required to create a Quantity Change Primitive Event, which can be either an increase, a decrease or a replacement. An increase adds a new trade lot to the original trade, whereas a decrease subtracts from an existing trade lot's quantity. A replacement updates the quantity of an existing trade lot to the new value."
QuantityMultiplier,,"Class to specify a mechanism for a quantity to be set as a multiplier to another (reference) quantity, based on a price observation. At the moment this class only supports FX or Equity-linked notional and re-uses existing building blocks for those 2 cases, until such time when component can be made more generic. This captures the case of resetting cross-currency swaps and resetting equity swaps."
QuantitySchedule,,Specifies a quantity schedule to be associated to a financial product to represent a trade amount. This data type extends MeasureSchedule with several unit or multiplier attributes that are used to define financial quantities. This data type is generically based on a schedule and can also be used to represent a quantity as a single value.
Quanto,,Determines the currency rate that the seller of the equity amounts will apply at each valuation date for converting the respective amounts into a currency that is different from the currency denomination of the underlier.
QuasiGovernmentIssuerType,,Represents a class to allow specification of different types of Quasi Government collateral.
QuotedCurrencyPair,,A class that describes the composition of a rate that has been quoted or is to be quoted. This includes the two currencies and the quotation relationship between the two currencies and is used as a building block throughout the FX specification.
RateObservation,,A class defining parameters associated with an individual observation or fixing. This class forms part of the cashflow representation of a stream.
RateSchedule,,"A class defining a schedule of rates or amounts in terms of an initial value and then a series of step date and value pairs. On each step date the rate or amount changes to the new step value. The series of step date and value pairs are optional. If not specified, this implies that the initial value remains unchanged over time."
RateSpecification,,"A data type to specify the fixed interest rate, floating interest rate or inflation rate."
RatingAgencyAmount,,A logical container to hold a defined set of related data. In this case the collation of Rating Information and an associated Independent Amount.
RatingAgencyValue,,"A logical container designed to hold a set of related data. In this case the Rating Agency, Rating Value and Rating Type."
RatingMultiplier,,A logical container to hold a defined set of related data. In this case the collation of Ratings Information and associated exposure multiplier.
RecalculationOfValue,,A class to specify terms for Recalculation of the Market Value of Posted Collateral when a dispute has been failed to be resolved by Resolution Time.
RecalculationOfValueElection,,A class to specify Recalculation of Value terms that will be applicable.
RecallProvision,,"Defines the additional features that allow securities to be recalled by the lender before the term of the loan. A recall is not the same as an early termination, but may result in the early termination of a loan."
ReferenceBank,,A class to describe an institution (party) identified by means of a coding scheme and an optional name.
ReferenceBanks,,A class defining the list of reference institutions polled for relevant rates or prices when determining the cash settlement amount for a product where cash settlement is applicable.
ReferenceInformation,,A class specifying the Credit Default Swap Reference Information.
ReferenceObligation,,A class to specify the reference obligation that is associated with a credit derivative instrument.
ReferencePair,,
ReferencePool,,This type contains all the reference pool items to define the reference entity and reference obligation(s) in the basket.
ReferencePoolItem,,This type contains all the constituent weight and reference information.
ReferenceSwapCurve,,A complex type used to specify the option and convertible bond option strike when expressed in reference to a swap curve.
RefRate,,
Regime,,A class to specify one or more regimes that may be specified as relevant to a legal agreement.
RegimeTerms,,A class that is used by the ApplicableRegime and the AdditionalRegime classes to specify the regulatory regime terms.
RegionalGovernmentIssuerType,,Represents a class to allow specification of different type of Regional government collateral.
RelatedParty,,
RelativeDateOffset,,"A class defining a date (referred to as the derived date) as a relative offset from another date (referred to as the anchor date). If the anchor date is itself an adjustable date then the offset is assumed to be calculated from the adjusted anchor date. A number of different scenarios can be supported, namely; 1) the derived date may simply be a number of calendar periods (days, weeks, months or years) preceding or following the anchor date; 2) the unadjusted derived date may be a number of calendar periods (days, weeks, months or years) preceding or following the anchor date with the resulting unadjusted derived date subject to adjustment in accordance with a specified business day convention, i.e. the derived date must fall on a good business day; 3) the derived date may be a number of business days preceding or following the anchor date. Note that the businessDayConvention specifies any required adjustment to the unadjusted derived date. A negative or positive value in the periodMultiplier indicates whether the unadjusted derived precedes or follows the anchor date. The businessDayConvention should contain a value NONE if the day type element contains a value of Business (since specifying a negative or positive business days offset would already guarantee that the derived date would fall on a good business day in the specified business centers)."
RelativeDates,,A class describing a set of dates defined as relative to another set of dates.
RelativeTime,,Defines a time value calculated relative to a reference time. The final value is derived by applying any offset and rounding rules inherited from RelativeTimeOffset to the reference time.
RelativeTimeOffset,,"Describes how a time is offset from a reference point, including the unit, magnitude, and rounding behavior."
Representations,,
Reset,,"Defines the reset value or fixing value produced in cashflow calculations, during the life-cycle of a financial instrument. The reset process defined in Create_Reset function joins product definition details with observations to compute the reset value."
ResetDates,,A data defining:  the parameters used to generate the reset dates schedule and associated fixing dates. The reset dates are the dates on which the new index value (which is observed on the fixing date) is applied for each period and on which the interest rate hence begins to accrue.
ResetFrequency,,"A class defining the reset frequency. In the case of a weekly reset, also specifies the day of the week that the reset occurs. If the reset frequency is greater than the calculation period frequency the this implies that more or more reset dates is established for each calculation period and some form of rate averaging is applicable. The specific averaging method of calculation is specified in FloatingRateCalculation. In case the reset frequency is of value T (term), the period is defined by the swap/swapStream/calculationPerioDates/effectiveDate and the swap/swapStream/calculationPerioDates/terminationDate."
ResetInstruction,,Defines the information needed to create a Reset Business Event.
ResolutionValue,,Methodology for resolving disputes in respect of the determination of the value of collateral.
ResolvablePriceQuantity,,"Generic class to specify the quantity for different payout legs in a contractual product, when that quantity can vary across payout legs or across time. A resolvable quantity can always be resolved into a single quantity from the quantity notation which has a corresponding asset identifier. In addition to the base case, where quantity is directly specified as a number as part of the quantity notation, the other use cases are: (i) quantity based on some pre-defined schedule (eg amortising notional), (ii) quantity based on some pre-defined events (eg resetting cross-currency notional), or quantity set as reference to another quantity (eg equity notional as no. securities x price)."
Resource,,"Describes the resource that contains the media representation of a business event (i.e used for stating the Publicly Available Information). For example, can describe a file or a URL that represents the event. This type is an extended version of a type defined by RIXML (www.rixml.org).  Rosetta restricts the FpML implementation by not providing the ability to associated a document in hexadecimalBinary or base64Binary until such time that actual use cases will come up."
ResourceLength,,A class to indicate the length of the resource.
Restructuring,,
RetrospectiveEffect,,A class to specify the retrospective effect exception to the regulatory regime clause of Initial Margin documents as either a normalized value specified as part of an enumeration or a customized value specified of type string.
ReturnAmount,,A class to specify the application of Interest Amount with respect the Return Amount.
ReturnInstruction,,Specifies the information required to create the return of a Security Finance Transaction.
ReturnTerms,,Specifies the type of return of a performance payout.
ReturnTermsBase,,"Contains all common elements in variance, volatility and correlation return Terms."
RightsEvents,,A class to specify the rights of Security Taker and/or Security Provider when an Early Termination or Access Condition event has occurred.
RollFeature,,Used in conjunction with an exchange-based pricing source. Identifies a way in which the futures contracts referenced will roll between periods.
Rounding,,Defines rounding rules and precision to be used in the rounding of a number.
Schedule,,"A class defining a schedule of rates or amounts in terms of an initial value and then a series of step date and value pairs. On each step date the rate or amount changes to the new step value. The series of step date and value pairs are optional. If not specified, this implies that the initial value remains unchanged over time."
ScheduledTransfer,,A scheduled transfer built into the contract.
SchedulePeriod,,"A class that defines the period of a schedule. The period contains a set of start and end dates, quantities, fixing, and pricing data."
SchmeNm,,
SecuredDebt,,
SecuredPartyRightsEvent,,A class to specify Secured Party Rights Event language.
SecuredPartyRightsEventElection,,A class to specify party specific Secured Party Rights Event language.
Security,,Identifies a security by referencing an identifier and by specifying the sector.
SecurityAgreementElections,,The set of elections which specify a Security Agremeent.
SecurityInterestForObligations,,"Security Interest for Obligations clause applicable to 1994 NY CSA, 1995 English Law CSA, 1995 English Law Credit Support Deed, 2016 English Law VM CSA and 2016 New York Law VM CSA."
SecurityLendingInvoice,,Specifies the information required for inclusion in a securities lending billing invoice.
SecurityLocate,,"A locate is an approval from a broker that needs to be obtained prior to effecting a short sale in an equity security. Similar to security availability, a borrower can request a single or multiple securities, but at least one must be requested."
SecurityProviderRightsEvent,,A class to specify the Pledgor/Obligor/Chargor Rights Event election.
SecurityProviderRightsEventElection,,A class to specify party specific Secured Party Rights Event language.
Sellr,,
SensitivityMethodologies,,A class to specificy methodologies to compute sensitivities specific to the agreement.
SensitivityMethodologiesPartyElection,,A class to specificy methodologies to compute sensitivities specific to the agreement.
SensitivityMethodology,,A class to specify the methodology according to which sensitivities are computed.
SensitivityToEquity,,Represents risk sensitivity calculated with respect to the value of an individual equity instrument.
SettledEntityMatrix,,A class to specify the Relevant Settled Entity Matrix.
SettlementBase,,A base class to be extended by the SettlementTerms class.
SettlementDate,,"A data defining the settlement date(s) for cash or physical settlement as either a set of explicit dates, together with applicable adjustments, or as a date relative to some other (anchor) date, or as any date in a range of contiguous business days. This data type provides a level of abstraction on top of the different legacy methods used to specify a settlement / payment date, which vary across product types, asset classes and delivery types."
SettlementPayout,,"Represents a forward settling payout. The underlier attribute captures the underlying payout, which is settled according to the settlementTerms attribute (which is part of PayoutBase). Both FX Spot and FX Forward should use this component."
SettlementProvision,,"Defines parameters that regulate a settlement, for instance whether this settlement should be netted with other ones or broken-down into smaller amounts."
SettlementRateOption,,Defines the settlement rate option to use for fixing in case of cash settlement. Currently only applicable to foreign exchange fixing in case of cross-currency settlement.
SettlementTerms,,"Specifies the settlement terms, which can either be cash, physical, or fx-based cash-settlement. This class can be used for the settlement of options and forwards, cash transactions (e.g. securities or foreign exchange), or in case of credit event."
ShapingProvision,,"Defines the applicable settlement limits that may require a settlement to be 'shaped', i.e. broken-down into smaller amounts."
SimmCalculationCurrency,,A class to specify the SIMM Calculation Currency elections by each party to the agreement.
SimmException,,A class to specify the SIMM exception to the regulatory regime clause.
SimmVersion,,A class to specify the ISDA SIMM version that applies to the ISDA 2018 CSA for Initial Margin.
SinglePostingParty,,"Where only a single  party is explicitly designated to post collateral, the party which is specified as the sole poster of collateral."
SingleValuationDate,,A class to specify the number of business days after satisfaction of all conditions to settlement.
Sngl,,
SovereignAgencyRating,,
SpecialPurposeVehicleIssuerType,,Represents a class to allow specification of different types of special purpose vehicle (SPV) collateral.
SpecificAsset,,"A single, specifically identified Asset chosen from the Asset data type"
SpecificInconvertibility,,
SpecificNonTransferability,,
SpecifiedConditionOrAccessCondition,,"Specifies the events elected by the parties that are deemed an Access Condition (for Initial Margin CSA) or a Specified Condition (for Variation Margin and Legacy CSA), which, if triggered, may temporarily or permanently suspend rights to rehypothecate, transfer, or substitute collateral."
SpecifiedCurrency,,
SpecifiedEntities,,A provision that allows each party to specify its Specified Entities for certain Events of Default and Termination Events.
SpecifiedEntity,,The party specific election of Specified Entities for the Event of Default or Termination Event specified.
SpecifiedOrAccessConditionPartyElection,,The party specific elections in respect to the Specified Condition and Access Condition clause.
SpinOff,,"Defines the underlier for both the Parent Company and the Child Compagny involved in Spin Off corporate action, as well as th respective price observation for each."
SplitInstruction,,"Specifies instructions for a split, consisting of a breakdown of instructions to be applied to each branch of the split. This instruction can be used to duplicate a trade, as in a clearing scenario, or to split a trade into smaller quantities (in which case each breakdown instruction needs to include a quantity change), as in an allocation."
SpreadSchedule,,Adds an optional spread type element to the Schedule to identify a long or short spread value.
StandardizedSchedule,,
StandardizedScheduleInitialMargin,,
StandardizedScheduleTradeInfo,,
State,,"Defines the state of a trade at a point in the Trade's life cycle. Trades have many state dimensions, all of which are represented here. For example, states useful for position keeping are represented alongside those needed for regulatory reporting."
StockSplitInstruction,,Data required to perform a stock split business event.
StrategyFeature,,A class for defining option strategy features.
Strike,,A class describing a single cap or floor rate.
StrikeSchedule,,A class describing a schedule of cap or floor rates.
StrikeSpread,,A class for defining a strike spread feature.
StubCalculationPeriodAmount,,"A data defining:  how the initial or final stub calculation period amounts is calculated. For example, the rate to be applied to the initial or final stub calculation period may be the linear interpolation of two different tenors for the floating rate index specified in the calculation period amount component, e.g. A two month stub period may used the linear interpolation of a one month and three month floating rate. The different rate tenors would be specified in this component. Note that a maximum of two rate tenors can be specified. If a stub period uses a single index tenor and this is the same as that specified in the calculation period amount component then the initial stub or final stub component, as the case may be, must not be included."
StubFloatingRate,,A class defining a floating rate.
StubPeriod,,"A class defining how the initial or final stub calculation period amounts is calculated. For example, the rate to be applied to the initial or final stub calculation period may be the linear interpolation of two different tenors for the floating rate index specified in the calculation period amount component, e.g. A two month stub period may used the linear interpolation of a one month and three month floating rate. The different rate tenors would be specified in this component. Note that a maximum of two rate tenors can be specified. If a stub period uses a single index tenor and this is the same as that specified in the calculation period amount component then the initial stub or final stub component, as the case may be, must not be included."
StubValue,,"A type defining how a stub calculation period amount is calculated. A single floating rate tenor different to that used for the regular part of the calculation periods schedule may be specified, or two floating rate tenors many be specified. If two floating rate tenors are specified then Linear Interpolation (in accordance with the 2000 ISDA Definitions, Section 8.3 Interpolation) is assumed to apply. Alternatively, an actual known stub rate or stub amount may be specified."
SubstitutedRegime,,A class to specify each party's election with respect to the Substituted Regimes that will be applicable...
SubstitutedRegimeTerms,,"Specifies the applicability of the Substituted Regime as denoted in the Substituted Regime Table as part of certain legal agreements, such as such as the ISDA 2016 and 2018 CSA for Initial Margin."
Substitution,,"A class to specify the conditions under which the Security Provider can substitute posted collateral. The details required for 'Legacy' agreements are substantially different to those required for newer agreements; where the agreement is a 1994 or 1995 CSA, or 1995 CSD, the legacyConsent attribute needs to be used which contains additional values beyond a simple true/false value."
SubstitutionPartyElection,,Party specific elections for substitution of posted collateral.
SubstitutionProvisions,,Defines collateral substitution provisions such as how many and with how much notice are substitutions allowed.
SwapCurveValuation,,"A class to specify a valuation swap curve, which is used as part of the strike construct for the bond and convertible bond options."
Swp,,
SwpIn,,
SwpOut,,
Taxonomy,,Defines the taxonomy of an object by combining a taxonomy source (i.e. the rules to classify the object) and a value (i.e. the output of those rules on the object).
TaxonomyClassification,,
TaxonomyValue,,Defines a taxonomy value as either a simple string or a more granular expression with class names and values for each class.
TelephoneNumber,,"A class to specify a telephone number as a type of phone number (e.g. work, personal, ...) alongside with the actual number."
Term,,
TerminationCurrency,,Specifies how the Termination Currency for the agreement will be determined.
TerminationCurrencyAmendment,,A class to specify the Amendment to Termination Currency elections by the parties to the agreement.
TerminationCurrencyElection,,A class to specify the Amendment to Termination Currency election by the parties to the agreement.
TerminationCurrencySelection,,Specifies Termination Currency where a currency is stated at the time the agreement is entered into.
TerminationProvision,,A class for defining option provisions.
TermsChangeInstruction,,"Specifies instructions for terms change consisting of the new transaction terms, and the renegotiation fee."
Threshold,,Represents the amount of unsecured risk that a party is willing to tolerate without holding any posted collateral provided by the other party.
ThresholdElection,,"Specifies whether the threshold is rating based, a fixed amount, or infinity."
ThresholdMinimumTransferAmountBase,,"A logical container designed to hold a set of related data. In this case, designed to hold a set of information required to specify conditions under which Threshold or Minimum Transfer Amount can fall to zero."
ThresholdMinimumTransferAmountFixedAmount,,Defines the Threshold or the Minimum Transfer Amount (MTA) as a fixed amount.
ThresholdRatingsBased,,Defines that the Threshold is based on Ratings condition(s).
TimeRounding,,"Specifies how a calculated time should be rounded, including both the direction of rounding and the unit to which the time is rounded. Rounding is applied after all offsets have been calculated."
TimeZone,,The time alongside with the timezone location information. This class makes use of the FpML TimezoneLocation construct.
TradableProduct,,"Definition of a product as ready to be traded, i.e. included in an execution or contract, by associating a specific price and quantity to this product plus an (optional) mechanism for any potential future quantity adjustment."
Trade,,Defines the output of a financial transaction between parties - a Business Event. A Trade impacts the financial position (i.e. the balance sheet) of involved parties.
TradeIdentifier,,"Defines a trade identifier as a special case of the generic identifier type, that also includes the trade identifier class."
TradeLot,,"Specifies the price and quantity of a trade lot, where the same product could be traded multiple times with the same counterparty but in different lots (at a different date, in a different quantity and at a different price). One trade lot combined with a product definition specifies the entire economics of a trade. The lifecycle mechanics of each such trade lot (e.g. cashflow payments) is independent of the other lots."
TradePricingReport,,The attributes that are specific for consensus based pricing reporting.
TradeState,,"Defines the fundamental financial information that can be changed by a Primitive Event and by extension any business or life-cycle event. Each TradeState specifies where a Trade is in its life-cycle. TradeState is a root type and as such, can be created independently to any other CDM data type, but can also be used as part of the CDM Event Model."
Tranche,,The class to represent a CDS Tranche.
TransactedPrice,,A class to represent the transacted price attributes that are positioned as part of the FpML FeeLeg.
TransactionAdditionalTerms,,"Additional specification for the extraordinary events that may affect a trade and the related contractual rights and obligation of the parties when this happens. Such terms are typically required to extend the economics terms, for the purpose of producing the final legal contractual form of the Transaction."
Transfer,,The type of transfer.
TransferableProduct,,"A TransferableProduct is a type of financial product which can be held or transferred, represented as an Asset with the addition of specific EconomicTerms."
TransferBase,,"Defines the movement of an Asset (eg cash, securities or commodities) between two parties on a date."
TransferContactInformation,,"Specifies transfer information including address and, optionally, an associated account. This type also supports the ISDA CSA representation as a single string, through the address attribute in Contact Information."
TransferInformationElection,,Specifies the party reference and the associated transfer & contact information.
TransferInstruction,,Defines the payout on which to create a Transfer along with all necessary resets.
TransferSettlementTiming,,"Specification of transfer / settlement timing for cash and securities collateral assuming that the notice is provided before the Notification Time (and with a 1LBD lag introduced if the notice is delivered after the Notification Time), and that securities allow for a further Local Business Day for transfer / settlement."
TransferState,,"Defines the fundamental financial information associated with a Transfer event. Each TransferState specifies where a Transfer is in its life-cycle. TransferState is a root type and as such, can be created independently to any other CDM data type, but can also be used as part of the CDM Event Model."
Trigger,,Trigger point at which feature is effective.
TriggerEvent,,Observation point for trigger.
Tx,,
UmbrellaAgreement,,"Specifies the set of agreements, the parties of which are set within UmbrellaAgreementSet, beyond the two contracting parties to that agreement."
UmbrellaAgreementParty,,Specifies the entities that are part of the umbrella agreement.
UmbrellaAgreementSet,,Represents the groups of agreement term elections that exist within the agreement and to which entities that particular group of elections apply. Where all entities under the umbrella have the same set of elections only one agreement set will exist. At least one agreement set must be defined for an Umbrella agreement
Underlier,,"The underlying financial product that will be physically or cash settled, which can be of any type, eg an asset such as cash or a security, a product, or the cash settlement of an index rate.  Conditions are usually applied when used in a data type, such as a payout, to ensure this aligns with the use case."
UnderlierSubstitutionProvision,,Where parties describe any substitution terms.
UndrlygInstrm,,
UnitType,,"Defines the unit to be used for price, quantity, or other purposes"
UnscheduledTransfer,,An ad-hoc transfer instigated by a party to the contract.
Valuation,,"Defines the value of an investment, asset, or security"
ValuationAgent,,Details of the party valuating the collateral to be delivered or returned.
ValuationCalculationDateLocation,,Specification of the Calculation Date Location for the respective parties to the legal agreement.
ValuationCalculationDateLocationElection,,A class to specify each of the party elections with respect to the Calculation Date Location.
ValuationDate,,"A single object that represents the different methods to specify a valuation date, as used for cash settlement. The Single / Multiple ValuationDate is used for the determination of recovery in a credit event, the RelativeDateOffset is used for cash-settled option, and FxFixingDate is used for cross-currency settlement."
ValuationDates,,"Defines how and when a performance type option or performance type swap is to be valued, including initial, interim and final valuation dates."
ValuationInstruction,,Specifies inputs needed to process a valuation.
ValuationMethod,,"Specifies the parameters required to obtain a valuation, including the source, quotation method (bid, mid etc.) and any applicable quotation amount."
ValuationPostponement,,Specifies how long to wait to get a quote from a settlement rate option upon a price source disruption.
ValuationSource,,"A class describing the method for obtaining a settlement rate, specified through either an information source (page), a settlement rate option (fixing) or by using quotes from reference banks."
ValuationTerms,,
ValuationTime,,Specifies the time by which the value of the collateral and obligations to transfer or return collateral are to be calculated relative to the Valuation Date.
VarianceCapFloor,,
VarianceReturnTerms,,
Velocity,,
VolatilityCapFloor,,Contains volatility-based barriers. Volatility Cap needs to be specified in accordance with the ISDA 2011 Equity Derivatives Definitions.
VolatilityReturnTerms,,
WeightedAveragingObservation,,A single weighted averaging observation.
Workflow,,A collection of workflow steps which together make up an entire workflow sequence.
WorkflowState,,"A class to specify workflow information, which is conceptually applicable to all lifecycle events."
WorkflowStep,,"A workflow step represents the state of a business event. The workflow step contains a reference to a previous WorkflowStep in order to preserve lineage. A workflow step is accepted if it contains a business event, proposed if proposedEvent is present and is rejected if the rejected flag is set."
WorkflowStepApproval,,Party approvals associated to the current WorkflowStep.

